radar_include,app_CODE,App_name,app_image,Author,Linked_megatrends,main_mega_link,Count mega trends,linked_microtrends,micro_code_list,MicroT #1,MicroT #2,MicroT #3,MicroT #4,MegaT #1,MegaT #2,MegaT #3,MegaT #4,App_description,filter_lists,implementation,technology,partner,what_do?
1,DIFFSTRY,Every employee has a different story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Hiper Personalization
Authenticity/Disconnection

",vocabulary_ich_1267,2,"Personalized Content,Authentic People","MT02,MT07",MT02,MT07,,,Hiper Personalization,Authenticity/Disconnection,,,Every employee has a unique set of needs. Companies should adapt their perks program to address each one of them.,Human Resources,2,0,1,
1,COMPCONT,Computer generated original content,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Hiper Personalization


",vocabulary_ich_1267,1,Personalized Content,MT02,MT02,,,,Hiper Personalization,,,,Creating original marketing/storytelling/etc content and products through the use of computer algorithms.,logistics,4,2,6,
1,PREVPROT,Prevention and Reactive Transparency,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,"One of the most significant parts contributing to Privacy Protection as a whole, is the preventive avoidance of data leaks, attacks, phishing, fraud, etc... This is the first line of defense, and it should go without saying that consumers only rest assured when they trust this is taken care of. Besides, although it is hard to measure return on investment for prevention, it is certainly cheaper than the PR crises and loss of trust that happens when it fails. Every company today should stop and think if they are prioritizing encryption, VPS usage when relevant, collecting only needed data, and the myriad of other good practices that so many neglect in place of cost reduction or marketing stunts.

An equally important side to transparency is how a brand or company behaves in case of data compromise or any abnormal case of attack. For the most part, what is increasingly being adopted is full transparency, in spite of quiet diffusal. Addressing isues that were not planned for, publicly/semi-publicly, builds trust and meets a more understanding consumer base, as opposed to coming accross as deception and losing valuable client and industry loyalty.",pcg,2,1,5,
0,REACTRAN,Reactive Transparency,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,,apagar,2,1,5,
1,SAFEBACK,Keep your backyard safe,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Privacy Protection,MT01,MT01,,,,Corporate Responsibility,,,,Protecting customers from unauthorized or involuntary access or use of their personal/proprietary data.,logistics,2,1,2,
1,AGILSHOP,Agile shopping experience,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Quicker Frequent Shopping,MT21,MT21,,,,Seamlessness/Ease,,,,,pcg,3,6,10,
1,INTERENE,Internalize Renewable energy ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,Human Resources,3,5,11,
1,COMMRENE,Commercialize Renewable energy ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,apagar,0,1,6,preencher implem e desc
0,ELECTRUC,Electric Trucks ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,,apagar,0,0,0,merged with ELECDELI
1,ELECDELI,Electric Transportation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,"Electrical vehicles have been promised as a solution for fighting global warming in mobility since they do not free toxic emissions and the energy can be clean if collected from renewabe sources. It makes only sense that the transport of goods follows the trend, since they account for a great percentage of transportation.",apagar,0,0,0,preencher
1,AUTOSUST,Auto-sustainable stores & companies,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Renewable Charged Future,MT13,MT13,,,,Sustainability,,,,"Auto-sustainable houses have in it's conception the design to be as independent as possible and not rely on external sources. Everything is connected in a circular holistic path to reduce waste and increase yields. By applying this concept to stores, sustainability is assured and savings may occur.  ",logistics,2,3,14,
0,PARAOFFE,Paradoxical Offer,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Schizophrenic Consumption,MT40,MT40,,,,Informed People,,,,,apagar,0,0,0,
1,PARAPROD,Paradoxical products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Informed People


",vocabulary_ich_1263,1,Schizophrenic Consumption,MT40,MT40,,,,Informed People,,,,Offering products that embrace the inner ambiguities and contradictions of customers' needs and wants.,Human Resources,2,0,0,preencher
1,SHARTALE,Share Talent,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Sustainability


",vocabulary_ich_1286,1,Sharing Economy,MT04,MT04,,,,Sustainability,,,,The proliferation of the Gig Economy is no longer at our doors; it has entered the room completely. The current technological paradigm is allowing companies and job seekers to close the gap between labor supply and demand.,apagar,1,0,1,preencher
1,SHARFUTU,Share a better future,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Sustainability


",vocabulary_ich_1286,1,Sharing Economy,MT04,MT04,,,,Sustainability,,,,"One man's trash is another man's treasure. With the blossom of the Sharing Economy, people are increasingly looking for platforms to let them optimize the lifecycle of their products while getting a benefit from that.",apagar,1,0,2,preencher
1,CUSTSTOR,Neverending story,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Experiences
Authenticity/Disconnection
Hiper Personalization
",vocabulary_ich_1287,3,"Storytelling,Authentic People,Personalized Content","MT35,MT07,MT02",MT35,MT07,MT02,,Experiences,Authenticity/Disconnection,Hiper Personalization,,Making itself a part of a story is a powerful strategy for a brand to help its customers relating with its products or services.,Human Resources,11,0,5,
1,AUTORECO,Automatic Recommendations,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Too Much Choice/ Simplification,MT39,MT39,,,,Seamlessness/Ease,,,,,apagar,1,1,5,
1,KILLNOIS,Kill the noise,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Seamlessness/Ease


",vocabulary_ich_1269,1,Too Much Choice/ Simplification,MT39,MT39,,,,Seamlessness/Ease,,,,Impatiance is growing as consumers keep getting bombed by increasingly amounts of information. Brands have now the responsability to ease that pain by clearly communicating the value proposition of their products in a simple and balanced way.,logistics,2,1,6,
0,TRACAPPL,DEPRECATED,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Transparency (Non-Food),MT05,MT05,,,,Corporate Responsibility,,,,,apagar,0,0,0,preencher
1,TRANWATC,Transparency watchdogs,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Transparency (Non-Food),MT05,MT05,,,,Corporate Responsibility,,,,Adopting solutions and establishing partnerships that supervise the compliance of supply-chain practices with established standards.,apagar,1,0,1,"preencher, se nao der - apagar e juntar ao GLASSBOXE"
1,HOMETRYO,Home Try on real products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Try Before You Buy,MT25,MT25,,,,Informed People,,,,,apagar,1,0,0,preencher (• Entrega todos os meses uma caixa cheia de roupa
1,VIRTTRYO,Virtual try on (remote or instore),https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Try Before You Buy,MT25,MT25,,,,Informed People,,,,,pcg,2,3,8,Subscrição de amostras da Amazon)
1,ALTEPLAS,Alternative materials to plastic,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,"Long time coming, but today stronger than ever, alternatives to plastic are highly sought after, seeing as we have not found a reliable method to guarantee correct plastic waste disposal (or its recycling). With harder legislative deadlines being pushed ever so quickly, it is no longer simply good for the planet, it is becoming an operational requirement.",Human Resources,4,4,10,
1,REUSPACK,Reusable Packaging,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste,Bulk Foods","MT27,MT15,MT33",MT27,MT15,MT33,,Sustainability,Sustainability,Sustainability,,"Packaging (and in particular, grocery packaging) is being implemented in parallel to plastic alternatives and should become increasingly relevant with the progression of e-commerce over brick-and-mortar retail. The holy grail in this field is, of course, the grocery bag, which promises to revolutionise the industry as soon as a no-compromise solution comes.",logistics,2,1,2,
1,RETHPACK,Rethink packages,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,"One of the strategies on the war on plastic is to rethink packages, either in size or material composition. Reducing size to only what is necessary and creating materials that are easier to recycle (usually opting in for monomaterials) are tools that should be adopted by both designers and suppliers.",apagar,1,2,6,
1,EDUCCUST,Sustainability Evangelization,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,"There is a lot of misinformation on sustainability and plastics, so educating customers may be the answer to save the world. ",apagar,0,0,2,preencher
1,RECYCLES,Recycle ,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,"War On Plastic,Zero Waste","MT27,MT15",MT27,MT15,,,Sustainability,Sustainability,,,"Recycling has been around for at least a decade, however the outputs made with recyclated materials are still scarce. By educating people and improving the separation, recycling may increase it's value, giving birth to new products.",logistics,3,1,2,
0,OMNILING,Omnilingue,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Corporate Responsibility

",vocabulary_ich_1287,2,"Welcome Tourism,Foreign Residents","MT26,MT16",MT26,MT16,,,Experiences,Corporate Responsibility,,,,apagar,0,0,0,
1,VISIPAIN,Global Citizen Painkillers,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Experiences


",vocabulary_ich_1287,1,Welcome Tourism,MT26,MT26,,,,Experiences,,,,"With open borders and the mix of cultures each time more present in a growing number of cities, a need for a comum language and translations arise.
Offering products and services that solve or mitigate nuisances and inconveniences of foreign visitors as well as giving them advantages/benefits  that help make the most of their visits and optimize their experience.",Human Resources,3,0,2,preencher tech
0,VISIPERK,Visitors' Perks,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Experiences


",vocabulary_ich_1287,1,Welcome Tourism,MT26,MT26,,,,Experiences,,,,,apagar,0,0,0,
1,WASTBASE,Waste based products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Zero Waste,MT15,MT15,,,,Sustainability,,,,,pcg,2,1,4,
1,OPTICYCL,Optimize Product Life Cycle,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Zero Waste,MT15,MT15,,,,Sustainability,,,,"From influencers that show how to live with zero waste to companies that commit to similar goals, garbage is no longer regarded as disposable but as something that is worthwhile taking a second appreciation. ",Human Resources,2,5,16,
1,PERCONGDS,Personalized Consumer Goods,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Hiper Personalization,vocabulary_ich_1267,1,Personalized Content,MT02,MT02,,,,Hiper Personalization,,,,Being unique is the new fashion. Brands should create the conditions for consumers to feel special by customizing their products.,logistics,5,0,3,
1,INSTWRTP,Insta Worthiness,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Continuous Connection,vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,"If it's worth a ""like"", it's worth a visit. The value proposition of a brand is not exclusively inherent to its products or services anymore. The surroundings count.
Design every product and service so that consumers want to take a picture of it and share it.",apagar,1,0,0,preencher
0,INSTWRTF,Insta-Worthy Facilities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,Continuous Connection,vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,apagar,0,0,0,"kill, merge with INSTWRTP"
