radar_include,trend_id,trend_title,trend_id_2,Impact,Certainty,main_mega_trend,count_apps,apps_list,apps_code_list,new_description,word_count,old_description,Authenticity/Disconnection,Continuous Connection,Experiences,Health And Wellness,Hiper Personalization,Informed People,Corporate Responsibility,Seamlessness/Ease,Sustainability,micro_image,article_name_list,article_url_list,article_name1,article_url1,article_name2,article_url2,article_name3,article_url3,relevance_horizon,threat_categories
1,MT25,Try Before You Buy,MT25,High,High degree,Informed People,2,"Home Try on real products
Virtual try on (remote or instore)
","HOMETRYO,VIRTTRYO","Reviews, good pictures and nice displays are not enough anymore. The biggest friction in eCommerce is the fact that, before buying a product, people still want to feel its touch, taste or smell. And whoever's capable of providing that will get the upper hand over those who can't.",48,"Since many users aren’t going to be able to physically touch a product before they buy it, brands need to come up with creative ways to help people “experience” it online. Think of ways to bring your product to life online so it stands out—like using virtual reality or augmented reality—such as L’Oréal’s Makeup Genius app that lets users virtually try on makeup.

There’s a whole community of creators testing and evaluating products, including yours. That means users will be validating any claims you make, so make sure your product can live up to them.

An alternative is Warby Parker's model of sending 5 pairs of glasses to the client's home for some time and letting them return whichever they dislike.",,,40,,,60,,,,https://images.pexels.com/photos/404159/pexels-photo-404159.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1263"
1,MT26,Welcome Tourism,MT26,High,High degree,Experiences,2,"Multicultural Facilities and Offer
Inclusive Facilities
Omnilingue
Global Citizen Painkillers
Visitors' Perks
","CULTOFFE,INCLFACI,OMNILING,VISIPAIN,VISIPERK",,1,,20,,80,,,,,,,https://images.pexels.com/photos/1167192/pexels-photo-1167192.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Multicultural Cities: Toronto, New York, and Los Angeles",https://books.google.pt/books?id=PdsQDAAAQBAJ&lpg=PA110&ots=V69XVRqTLY&dq=SUPERMARKET%20MULTICULTURAL%20CITIES&pg=PA109#v=onepage&q&f=false,,,,,,,> 2 Years,"vocabulary_ich_1265,vocabulary_ich_1287"
1,MT27,War On Plastic,MT27,High,High degree,Sustainability,0,"Alternative materials to plastic
Reusable Packaging
Rethink packages
Sustainability Evangelization
Recycle 
","ALTEPLAS,REUSPACK,RETHPACK,EDUCCUST,RECYCLES","According to BBC, 400 million tons of plastic is produced every year with 40% of its applications being thrown out after the first use. Plastic is not biodegradable, which means it will stay around for hundreds of years – representing a big threat for the environment. 
The debate on reducing plastic production is gathering more followers every day and people expect retailers to be a part of the process to save the world. Sustainable materials for packaging and bulk food are some of the solutions that customers value and are willing to pay extra to get. ",97,"Solid waste and pollution issues are catching up with plastic, so much so that 2018 could mark the beginning of a “war on plastic.” Packaged goods makers are beginning to move away from traditional plastic packaging, and toward sustainable options like sugarcane “plastic” tubes as well as bowls made from plant fibers. But the “war on plastic” is about more than just packaging; growing concern over the presence of microplastics in the oceans land water eco systems is casting the long term viability of personal care ingredients like microbeads and glitter into question. Look for beverage makers to respond to the trend, as Nestle Waters North America is doing in February with the launch of Nestlé Pure Life purified water in new bottles made from 100 percent food grade recycled plastic (rPET).

",,,,,,,40,,60,https://images.pexels.com/photos/761297/pexels-photo-761297.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,Unsure,"vocabulary_ich_1284,vocabulary_ich_1286"
1,MT28,Lifecasting,MT28,High,High degree,Continuous Connection,4,"Social Network Commerce
Vlogging
","SOCICOMM,VLOGGING,INSTWRTP,INSTWRTF","Consumers are shifting their attention from TV to Youtube, Facebook and Instagram. Social media influencers are the new epicenter of new lifestyles, behaviors and social trends. This represents an opportunity for retailers to promote their products in a more decentralized (and effective) way. Companies who provide digital sharable products and experiences increase their reach with continuously growing scalability. ",59,Previously Outfit of the Day; Obsolete description (Apps and hardware made for sharing outfits to communities are here to stay. With the launch of the Amazon Echo Look and the lingering popularization of smart mirrors in fashiong stores (see Alibaba's/Guess's FashionAI concept store) we expect to see people sharing a lot more of their fashion choices.),,60,20,,20,,,,,https://images.pexels.com/photos/267350/pexels-photo-267350.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1267"
1,MT29,P2P 2.0 Payment,MT29,High,High degree,Seamlessness/Ease,0,,,,1,MB WAY; Venmo; Zelle; Apple Pay; Square cash,,10,,,10,,,80,,https://images.pexels.com/photos/618544/pexels-photo-618544.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,1 to 2 Years,"vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269"
1,MT30,Functional Food,MT30,High,High degree,Health And Wellness,4,"Food as Medicine Counseling
Range of Functional Food
Non-empty Calories
Food Purpose Communication
Nutritional Personal Counseling
Free From Products
","FOODMDCN,FUNCFOOD,NON-CALO,FOODPURP,NUTRCOUN,FREEFROM",,1,"E.g. Food for stress relief or energy foods

The often contradictory advice on what to avoid finds many consumers more interested in what food and drink offers instead of what it lacks. This affirmational approach maintains the importance of formulating with the natural and often nutritional ingredients of fruits, vegetables, grains, seeds, herbs, spices, botanicals, and other plant-based ingredients as noted in ‘Power to the Plants,’ one of Mintel’s 2017 Global Food & Drink Trends. Plants are just one component of balanced diets, with many consumers creating personalised diets that also prioritise consuming sufficient protein, staying hydrated, and allowing themselves theoccasional treat. Permission to enjoy treats or satisfy cravings is an integral aspect of self-care that particularly addresses the
widespread need for stress relief. For example, Mintel research reveals that 52% of Thai, 45% of Australian,
and 43% of Indonesian adult
metropolitan consumers say
managing or releasing stress
properly is an important factor for a healthy lifestyle.",,,,70,20,10,,,,https://images.pexels.com/photos/988865/pexels-photo-988865.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1263"
1,MT31,Healthy Junk Food,MT31,High,High degree,Experiences,0,"Substitute Proteins
Healthier Versions of Indulgences
Gourmet Junk Foods in restaurants
Gourmet Junk Food
","SUBSPROT,HEALINDU,GRMTJNKR,GRMTJNKK",,1,"Snacks considered to be junk food are getting a healthy makeover with “better for you” ingredients. Snack makers are using ingredients perceived as being “better for you” as a virtue-signaling mechanism to induce health-conscious consumers to try snacks that may have previously been off limits for health and nutrition reasons. Healthful ingredients like avocado and coconut oil along with plant-based proteins are changing the face of so-called ‘junk food’. Novel ingredients like jackfruit and moringa are also finding their way into junk food, which are challenging consumer perceptions. Look for innovators to disrupt popular, but nutrition-challenged sectors like puffed snacks with products like Vedic Brands Lily Puffs which is part of a wave of healthful puffed snacks made from the seeds of an Asian water lily plant.",,,50,40,,,,10,,https://images.pexels.com/photos/416594/pexels-photo-416594.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1264,vocabulary_ich_1269"
1,MT32,Genderless / Gender Neutral,MT32,High,High degree,Corporate Responsibility,1,"Inclusive Facilities
Genderless Design
","INCLFACI,GENDDESI",,1,"Changing views toward gender identity are impacting the beauty market by blurring the lines between female and male beauty. The blurring of these traditional binary gender identities is opening the door for concepts like genderless beauty and other crossover innovation. The first makeup stores for men will make an appearance this year like MMUK Man’s new brick-and-mortar store in the UK together with fragrances that are appropriate for all genders and other game-changing developments.

",,,,,,,100,,,https://images.pexels.com/photos/1209843/pexels-photo-1209843.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,vocabulary_ich_1284
1,MT33,Bulk Foods,MT33,High,High degree,Sustainability,3,"Refill Packages/Reusable Packages
Omnichannel bulk foods
Instore Food Preparation
Reusable Packaging
","REFIPACK,OMNIBULK,FOODPREP,REUSPACK","A single family will probably have numerous diet restrictions: grandma is lactose intolerant, the father is gluten--free and the older daughter is trying a vegan regimen. The criteria of this family’s shopping list is almost impossible to meet – and that’s why they’ll prefer the retailer who provides them a customized service that addresses all their needs. By reducing the amount of plastic needed for packaging, bulk food is a win-win situation to the customer, the retailer, and the planet.",80,"Everyone’s a winner when it comes to buying in bulk: manufacturers, retailers, consumers, and the earth.

According to Melissa Breyer at TreeHugger, bulk purchasing may “require less overall transportation for delivery to consumers. There is much less packaging that needs to be produced and transported prior to being filled.” Not only does that benefit packaging manufacturers, but it’s also a win for the environment.

F&B managers and C-store owners who want to start stocking bulk products in their stores should check out these 12 recent trends and practices regarding bulk food.",,,,,,,,,100,https://images.pexels.com/photos/1479192/pexels-photo-1479192.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,vocabulary_ich_1286
1,MT34,New Luxury,MT34,High,High degree,Informed People,1,"Luxury in every range
",LUXURANG,,1,"But today we are witnessing a different phenomenon:
the democratization of luxury. We define it as middlemarket
consumers selectively trading up to higher levels
of quality, taste, and aspiration.
The democratization of luxury is occurring across a
surprisingly broad set of categories, and it is destabilizing
competition, creating new winners and losers,
and offering new rules for brand strategy. Already,
this force has transformed a score of markets. (See
Exhibit 1.) Many more categories are ripe for the taking.
The question for established marketers is, Who
will be first to bring the new luxury to my category? ",,,10,,,50,,,40,https://images.pexels.com/photos/949590/pexels-photo-949590.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1286"
1,MT35,Storytelling,MT35,High,High degree,Experiences,0,"Neverending story
",CUSTSTOR,"Consumers want to know the story of the product. A study conducted by Origin/Hill Holiday found that people are willing to pay more for a product that's accompanied by a narrative - its perceived value will increase if it's followed by the producer’s story, another user's review or any other type of content that helps people relating to that particular item or service.",63,"Consumers perceive higher value in products that tell a tale, have a backstory, show humanity. The following experiment by Origin/Hill Holliday depicts the trend clearly.
https://www.adweek.com/files/imagecache/node-blog/telling-tales.png

É ela por ela. Pedra papel ou tesoura?",,,80,,,20,,,,https://images.pexels.com/photos/1043512/pexels-photo-1043512.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,1 to 2 Years,"vocabulary_ich_1287,vocabulary_ich_1263"
1,MT36,Instant Gratification,MT36,High,High degree,Continuous Connection,1,"Automatic Order and Checkout
Quick deliveries
Reward for each Consumer Journey Step
","AUTOORDE,QICKDLVR,REWASTEP","Consumer's attention span has been abruptly decreasing for the past few years. If a brand can't communicate its messages or value propositions in the first seconds of the conversation, people will look for something else. Customers expect to be immediately served and will have no mercy for the runner up in the delivery race. Whoever's serves first, serves better. ",60,"Consumers are, by now used to being served right when they want. Action movies and pop songs have to hook people continuously with multiple climaxes and repeating choruses. If whatever product/service/experience does not immediately and continuously please the consumer, they will move on to something else. ",,80,20,,,,,,,https://images.pexels.com/photos/191160/pexels-photo-191160.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287"
1,MT37,Fear Of Missing Out,MT37,High,High degree,Continuous Connection,2,"Tribalize eCommerce
Temporary Exclusive Campaigns
","TRIBECOM,TEMPCAMP","FOMO defines the fear of not getting in on a deal, experience, event or other activity, strongly correlated with social pressure. It is not exactly recent/emergent, but is today increasingly relevant, and is most prevalent among millenials and younger generations, in/entering prime spending age.
Marketing tends to overuse this concept to motivate consumers to do last-minute purchasing decisions. This has to be done with care, as it risks frustrating loyal customers who will then be tired of having their hand forced.",80,"FOMO defines the fear of not getting in on a deal, experience, event or other activity, strongly correlated with social pressure. It is not exactly recent/emergent, but is today increasingly relevant, and is most prevalent among millenials and younger generations, in/entering prime spending age.
Marketing tends to overuse this concept to motivate consumers to do last-minute purchasing decisions. This has to be done with care, as it risks frustrating loyal customers who will then be tired of having their hand forced.",,100,,,,,,,,https://images.pexels.com/photos/897817/pexels-photo-897817.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,vocabulary_ich_1268
1,MT38,Flexible Workplaces,MT38,High,High degree,Seamlessness/Ease,4,"Total work flexibility
Undocked offices
Coworking spaces/communities
Remote workforce
Outdoor workspaces
Inclusive Facilities
","WORKFLEX,UNDOOFFI,COWOSPAC,REMOWORK,OUTDWORK,INCLFACI","The number of offices with a desk rotation policy is increasing everywhere. Workers are valuing the convenience that flexible work stations represent, as well as the freedom to work from home.",31,"The office-space empire WeWork was founded eight years ago in New York. It currently leases 240,000 sq metres of real estate in London alone, which reportedly makes it the city’s largest user of offices after the British government. The basic deal is simple enough: you can either pay to put your laptop wherever there is space, or stump up a little more for a more dependable desk or entire office – and, in either case, take advantage of the fact that, with operations in 20 countries, WeWork offers the chance to traverse the planet and temporarily set up shop in no end of locations.

was ""Working = Living""",,,,,10,,20,60,10,https://images.pexels.com/photos/938965/pexels-photo-938965.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,Unsure,"vocabulary_ich_1267,vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286"
1,MT39,Too Much Choice/ Simplification,MT39,High,High degree,Seamlessness/Ease,2,"Automatic Recommendations
Kill the noise
","AUTORECO,KILLNOIS",Too much choice can be as harmful as no choice at all: just think of the time you spend trying to choose what to watch on Netflix. AI and Data mining are helping customers making some sense of the chaos with shopping list recommendations or customized campaigns. ,48,"This trend includes both AI/ML solutions for simplifying users' choice and just running a low-stock retail offer.
Too many options scare customers out of buying. Shrinking variety can increase overall profitability. https://www.businessinsider.com/why-too-much-choice-is-bad-2018-10 https://blog.salecycle.com/featured/is-choice-paralysis-a-problem-for-online-retailers/",20,,,,,,,80,,https://images.pexels.com/photos/41219/apple-diet-face-food-41219.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1265,vocabulary_ich_1269"
1,MT40,Schizophrenic Consumption,MT40,High,High degree,Informed People,2,"Paradoxical Offer
Paradoxical products
","PARAOFFE,PARAPROD",Schizophrenic (or non-linear) consumption portrays the fact that some consumers are willing to spend less money on some purchases so that they can dive into some other indulgences (e.g. exclusively buying white brand food to save for an iPhone). This behavior can be fostered by financial savviness or can simply be arbitrary. ,53,"There is an increasing segment of consumers that is financial-savvy, responsibly saving in many aspects such as food and comfort, but then caving to indulgences as ""guilty pleasures"" with some frequency, buying a premium luxury fashion item, trip, or gadget.",,,40,,,50,,10,,https://images.pexels.com/photos/346752/pexels-photo-346752.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1269"
1,MT41,Mini-Doses,MT41,High,High degree,Hiper Personalization,1,"Small form factors
",SMALFORM,The number of people with particular diets is increasing and food retailers must adapt. People want a customized service for every situation (e.g. 2 people in a couple buying 2 different meals and still eating together),36,Individual doses for the individual tastes. E.g. 2 people in a couple buying 2 different meals and still eating together (supermarket/ubereats),,,,,50,,,20,30,https://images.pexels.com/photos/1574676/pexels-photo-1574676.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1267,vocabulary_ich_1269,vocabulary_ich_1286"
1,MT42,Meaningful Work,MT42,High,High degree,Experiences,2,"Total work flexibility
Automate repetitive tasks
Job rotation
","WORKFLEX,AUTOTASK,JOBROTAT","People, particularly millennials, are increasingly looking for careers with a purpose and avoiding jobs with meaningless repetitive tasks.",18,Ninguém quer fazer trabalhos repetitivos ou que não acrescentam valor ou impacto significativo. Todos querem ficar na história.,10,,40,,,30,10,,10,https://images.pexels.com/photos/450271/pexels-photo-450271.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284,vocabulary_ich_1286"
1,MT43,Animal Rights,MT43,High,High degree,Corporate Responsibility,2,"Cruelty free products
Awareness Campaigns
","CRUEFREE,AWARCAMP",The fight against animal cruelty keeps gathering new supporters and some paradigms such as bullfighting and slaughterhouses may have their days counted.,22,"Animal rights movements gaining traction and igniting discussion all over the world. Notably: Vegetarianism, slaughterhouse scandals, bullfighting etc",,,,,,20,80,,,https://images.pexels.com/photos/406014/pexels-photo-406014.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1263,vocabulary_ich_1284"
0,MT44,Video Content,MT44,Low,High degree,Seamlessness/Ease,0,"Adapt the conversation
",ADAPCONV,,,"In 2018, start embracing video content as never before.

Facebook has been prioritizing video content in its feed for a long time and LinkedIn has recently adopted the same approach. The number of people watching Instagram Stories has exceeded Snapchat.

Also, users are willing to consume content in different formats. This is where video marketing comes in.

See for yourself:

79 % of consumers would rather watch a video to learn about a product, than read text on a page.
84 % of consumers have been convinced to make a purchase after watching a brand's video.
",,,,,,,,100,,,,,,,,,,,> 2 Years,vocabulary_ich_1269
0,MT45,Oneconomy,MT45,Low,Low degree,Hiper Personalization,0,,,,,"Os consumidores dão cada vez mais prioridade à individualidade e ao cuidado pessoal e procuram ter produtos e viver experiências para um (emergência de práticas como a Sologamia - quem não conhece, Google it please!",,,30,,50,,10,,10,,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1284,vocabulary_ich_1286"
0,MT46,Comfort Food,MT46,Low,High degree,Experiences,0,,,,,"Although Mintel is far too genteel to suggest we all indulge in sheetcaking a la Tina Fey, the company does point to “political bombshells” and ingredient scares as triggering a consumer selection of food that soothes or falls within the health halo. “The challenge of determining the elements of a healthy diet can contribute to negativity and stress because consumers are bombarded with potentially conflicting reports as to which ingredients are recommended and which ones should be avoided,” writes Zegler. Whether through tailor-made seed diets, soothing botanicals such as chamomile, lavender and lemon balm or splurge indulgences in dessert or comfort food form, manufacturers will be targeting customers through mood-based offerings.

",,,100,,,,,,,,,,,,,,,,> 2 Years,vocabulary_ich_1287
0,MT47,Textured Food,MT47,Low,High degree,Experiences,0,,,,,"Unexpected tactile experiences in food and beverage will be a new realm for manufacturers to explore in 2018. “As with color, more companies have the opportunity to add texture via natural ingredients, such as the pulp of fruit or vegetables, the tingle of spicy peppers, or carbonation resulting from fermentation as with kombucha,” writes Zegler. This trend can manifest through chewy or crunchy elements in beverages or popping candy or other surprises in baked goods, aiming for a novel experience for the consumer to share. 

",,,100,,,,,,,,,,,,,,,,1 to 2 Years,vocabulary_ich_1287
0,MT48,Insta-Worthy Food,MT48,Low,High degree,Experiences,0,,,,,"The craze for delicious food that is equally – if not more – appealing to the eyes as it is to the stomach, is becoming more popular than ever. Consumers are beginning to obsess over what AF&Co have called, “photo-friendly food”. From pastel coloured ice creams and edible flowers to black charcoal lemonade and doughnuts with flavour-filled syringes, it is no wonder that there are over 141 million pictures on Instagram with the hashtag #FoodPorn. It is predicted that the trend will fail to subside this year but rather provide chefs with a challenge to stand out and innovate with food preparation and presentation. Many cafes and restaurants, including Platform 82, already capitalise on this trend by creating large share platters which encourage their customers to share images of their meal on social media. The breakfast and brunch restaurant in Concord West, New South Wales, began as a dinner restaurant, but quickly gained traction on social media with their giant platters attracting hundreds of customers queuing each day to try them.",,40,60,,,,,,,,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287"
0,MT49,Invisible (White) Brands Rise,MT49,Low,High degree,Informed People,0,,,,,"For example, let’s look at the carbonated soft drink category. In aggregate, the category generates more than $108 billion in annual global value sales. And while the overwhelming majority of those sales come from multinational and private-label brands, invisible brands account for 13% of total value sales. In dollars, that amounts to $12 billion.

Marcas ""genericos"" Brandless (produtos sem marca publicitada)

",,,,,,60,,,40,,,,,,,,,,> 2 Years,"vocabulary_ich_1263,vocabulary_ich_1286"
0,MT50,Ad-Blocking,MT50,Low,High degree,Informed People,0,,,,,"Mobile adblock usage grew by 108 million, reaching a total of 380 million active devices, the report found.

Despite ever smaller numbers of people using desktop and laptop computers, adblock usage on these platforms grew by 34 million to reach 236 million active devices.

“The state of the blocked web” introduces new empirical global, regional, and national data on adblock usage and is the first unified data available for both mobile and desktop adblock usage. It reveals that the “blocked web”—the part of the web where users block ads—has grown to 11% of the global online population.",,,,,,80,20,,,,,,,,,,,,> 2 Years,"vocabulary_ich_1263,vocabulary_ich_1284"
0,MT51,Week-Planned Services / Meal Kits,MT51,Low,Low degree,Seamlessness/Ease,0,,,,,"Meal planning is generally thought to be the obsessive hobby of bodybuilders and the health-obsessed, but that’s misinformed. Yes, health-conscious individuals tend to meal plan. People who simply like to be organized and prepared meal plan, too. I’m one of those people.

Planning out and scheduling my meals is one of my coping mechanisms for life. I like to know exactly what I’ll be eating throughout the week, how much time I’ll need to spend in the kitchen, what I need to buy at the grocery store, and if I’ll have snacks to eat at work. All of this information streamlines my life and reduces a lot of stress.",,,,10,20,,,70,,,,,,,,,,,> 2 Years,"vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1269"
0,MT52,Meal Delivery To Work/Home,MT52,High,Low degree,Seamlessness/Ease,0,,,,,"Os primeiros dias chuvosos de outono são os maiores inimigos dos amantes da hora de almoço. Acabam-se as pausas na esplanada e volta a preguiça para ir almoçar fora. A falta de tempo (ou vontade) impede-nos de preparar a marmita no dia anterior e a lancheira facilmente se transforma num empecilho quando conjugada com o guarda-chuva. Mas, a partir de hoje, pode esquecer os tupperwares. Reunimos um conjunto de empresas que, de norte a sul do país, entregam refeições saudáveis no local do trabalho para que o seu almoço deixe de ser um bicho de sete cabeças.",,,,10,20,,,70,,,,,,,,,,,Unsure,"vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1269"
0,MT53,Esports New Sports,MT53,Low,High degree,Continuous Connection,0,,,,,"The esports industry may hit a serious growth spurt this year, according to new data from Newzoo. In its annual report, the marketing researcher is predicting 2018 revenues to hit $905 million, a staggering 38% increase from 2017’s $655 million. Brand investment is expected to make a significant impact with an increase of 48% year-over-year.

Newzoo still expects the esports industry to cross the billion-dollar threshold in 2019, with revenues projected to hit $1.1 billion. Yes, in a year, we may finally be able to shorten the phrase, “the soon-to-be billion-dollar industry.” By 2021, revenues could reach $1.65 billion.

The significant growth in projected revenue makes sense with groundbreaking new developments hitting this year. League of Legends is as popular as it’s ever been, with its 2017 World Championship finals more than doubling its unique viewers year-over-year, according to a financial report from its parent company, Tencent. For 2018, though, its new franchising model, locking in ten North American teams without fear of relegation, should mitigate risk for new sponsors hoping to enter the space.",,90,,,,,,10,,,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1269"
0,MT54,Solar Power,MT54,Low,High degree,Sustainability,0,,,,,"Designed to look like any old roof tile the panels are able to capture sunlight and convert it into electric energy. In a Tesla earnings call, Musk said the initial installations have happened on the homes of Tesla employees – including his own and co-founder JB Staubel's.

This is just the first step for Tesla, though. Pre-orders for the technology started in the US during the second quarter of this year and those who take the leap are offering a lifetime warranty. Installations on early adopters' houses are due to start before the end of 2017 and could be available outside the US in 2018.Prices depend on your need and Tesla has created a calculator using data from Google Sunroof, a 2015 project that used 3D modelling to determine how much solar output houses can generate. This calculator factors in the cost of a 14kWh Powerwall – an optional extra that can be installed with Solar Roof panels – and state taxes. The ""energy value"" number is calculated over 30 years, which is the length of the warranty covering power production from the tiles. Tesla is offering an ""infinity warranty"" on the tiles themselves.",,,,,,,,,100,,,,,,,,,,1 to 2 Years,vocabulary_ich_1286
0,MT55,Multi-Generational Housing,MT55,Low,Low degree,Sustainability,0,,,,,"Then she heard of Nesterly. The brainchild of Noelle Marcus and Rachel Goor, two recent graduates of MIT’s masters program in urban planning, it’s a simple enough idea: You match younger people who need affordable housing with older adults who charge affordable prices–including help around the house–for the extra rooms of their homes.",,,,,,,, ,100,,,,,,,,,,> 2 Years,vocabulary_ich_1286
0,MT56,Podcast Rise From Iot (Cars),MT56,Low,Low degree,Continuous Connection,0,,,,,"In-car listening is golden. You can’t use a screen, commutes are getting longer, and you’ve got a captive audience on a recurring basis.

The car has long been dominated by AM & FM radio and that is still the case. Why? Radio is EASY. Hit a button and the radio just plays.

Podcasting in the car is NOT easy, especially if you’re tethering your phone via USB or connecting your phone to your car via Bluetooth. For many people, it’s just too much of a hassle.

Thanks to the highest ever annual increase of cars with in-dash, internet-powered entertainment systems, though, Tom says that may finally be starting to change.

“The reason why radio hangs on so much in the car, is it’s just so easy to use. You’ve got five presets and there’s what you’re going to listen to. Even though you have all of this content on your phone, it’s not easy to get to when you’re driving. The integrated in-dash entertainment system stat is going be the rate limiting factor on rapid growth in all things audio. As that spikes, I think everything else gets pulled up with it.”
It’s also fascinating to see podcasting overtake satellite radio in the car this year. Satellite radio has always been easier to use than podcasting and has had wider adoption in cars as as a result. This stat suggests that slowly, but surely, podcasting is getting easier to listen to in the car. (It also doesn’t hurt that podcasts are free…)",,80,,,,,,20,,,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1269"
0,MT57,Car Sharing,MT57,Low,Low degree,Sustainability,0,,,,,"Reduction in commuting costs is expected to propel the car sharing market growth over the next six years. According to the American Association of Automobiles (AAA), the average annual costs to own and operate vehicles are about USD 8,698. Car sharing model has the potential to significantly reduce the transportation costs for the commuters. According to the Transportation Sustainability Research Center, the monthly transportation savings for round trip car sharing members in the U.S. ranges from USD 154 to USD 435. Furthermore, car sharing addresses some of the traditional problems of owning a car including arranging and paying for parking spaces and maintaining the insurance cover.

 
Stringent government regulations and norms associated with the emissions of greenhouse gases are propelling the growth of carsharing market. In January 2017, the government of Germany announced an initiative to encourage the adoption of these services by passing a draft bill to encourage the installation of the infrastructure required for these services. The government is helping the adopting of these services as these are considered crucial to make the transportation sector environmentally friendly.",,,,,,,,20,80,,,,,,,,,,> 2 Years,"vocabulary_ich_1269,vocabulary_ich_1286"
0,MT58,Groupbuy/Social Commerce,MT58,High,Low degree,Informed People,0,,,,,Massdrop like commerce,,,,,,70,,,30,,,,,,,,,,,"vocabulary_ich_1263,vocabulary_ich_1286"
0,MT59,Livestream Classes,MT59,Low,High degree,Continuous Connection,0,,,,,"Top online English-learning platforms are all leveraging videoconferencing technology to connect students in China
with teachers overseas for real-time one-on-one lessons. ",,40,30,,30,,,,,,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1267"
0,MT60,Indulgence Food,MT60,Low,High degree,Experiences,0,,,,,"Sugar has been trending as the top health villain for a while, but signs are emerging that not everyone is taking this view as some food and beverage makers are celebrating sugar with super-indulgent frozen novelties, beverages, and desserts. This is happening in categories like premium chocolate where Nestlé is launching a new line of Swiss chocolate bars in the UK with its Les Recettes De L’Atelier range. Celebrating sugar instead of apologizing for it may be an early sign of “better for you” fatigue. If so, we could see more “dirty label” (instead of “clean label”) product launches in 2018 that flout current health trends and celebrate indulgence.",,,100,,,,,,,,,,,,,,,,> 2 Years,vocabulary_ich_1287
0,MT61,Personalized Food,MT61,Low,High degree,Hiper Personalization,0,,,,,"Nothing tastes as good, looks as good, or works as well as a product you helped create. The “I made it” trend celebrates this sentiment and taps a growing consumer desire for control, self-sufficiency, personalization, and transparency. According to a Q3 2016 survey by GlobalData, a majority of consumers globally – 60% – say they find the concept of products they helped create to be appealing. FMCG manufacturers will be looking to find new ways to allow consumers to put a personal stamp on the products they use and enjoy. Very much on-trend is new Urban Decay Drop Shot, a mix in facial oil that allows the consumer to tweak their own makeup products.

",,,,20,80,,,,,,,,,,,,,,,"vocabulary_ich_1264,vocabulary_ich_1267"
